titulo,valor,link
Apple iPhone 12 (64 GB) - Preto,"R$2.776,68",https://www.amazon.com.br/Apple-iPhone-12-64-GB-Preto/dp/B09BG1CZ68/ref=sr_1_5?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-5&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 13 (128 GB) - Meia-noite,"R$3.499,01",https://www.amazon.com.br/Apple-iPhone-13-128-GB-Meia-noite/dp/B09T55NFSR/ref=sr_1_6?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-6&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 16e de 128 GB — Preto,"R$3.998,99",https://www.amazon.com.br/Apple-iPhone-16e-128-GB/dp/B0DXR7GNWJ/ref=sr_1_7?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-7&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 15 (128 GB) — Azul,"R$4.549,00",https://www.amazon.com.br/Apple-iPhone-15-128-GB/dp/B0CP6CR795/ref=sr_1_8?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-8&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 16 (128 GB) – Branco,"R$5.298,03",https://www.amazon.com.br/Apple-iPhone-16-128-GB/dp/B0DJFTCKNN/ref=sr_1_9?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-9&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 14 (128 GB) – Estelar,"R$3.997,98",https://www.amazon.com.br/Apple-iPhone-14-128-GB/dp/B00CLP06OW/ref=sr_1_10?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-10&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 16 Pro Max (256 GB) – Titânio preto,"R$8.819,09",https://www.amazon.com.br/Apple-iPhone-Pro-Max-256/dp/B0DGMJT4S8/ref=sr_1_11?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-11&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 16 Pro (128 GB) – Titânio-deserto,"R$7.559,10",https://www.amazon.com.br/Apple-iPhone-Pro-128-Tit%C3%A2nio-deserto/dp/B0DGMCG8SN/ref=sr_1_12?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-12&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 15 Plus (128 GB) — Preto,"R$5.999,00",https://www.amazon.com.br/Apple-iPhone-15-Plus-128/dp/B0CHXDTJXX/ref=sr_1_13?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-13&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 16 Plus (128 GB) – Rosa,"R$6.698,97",https://www.amazon.com.br/Apple-iPhone-16-Plus-128/dp/B0DGMBY82G/ref=sr_1_14?dib=eyJ2IjoiMSJ9.ufK5rEq-bkSnxYhM1akRW6rvFOx-8MVKEwD98cjDCMWWrrkL4h9Gwsld14dcg2BVUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQSINBp8d5UNLmHac4MMDSdihI-k6qdk2o2OR25yIihw98PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9dec4BsZ5dJRaXNrRKq4GYsqVfz7g4eRHP2x2xlF3JWdnzP6UQCK8Qt0RsB61AB24j30.ZI0zRXxP_Wgjx-GZY9QzVAE5CYfaXPhWPbqFFotlWWE&dib_tag=se&keywords=iphone&qid=1744679903&sr=8-14&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
