titulo;valor;link
Apple iPhone 14 Pro Max (512 GB) – Roxo-profundo;R$ 15.134,18;https://www.amazon.com.br/Apple-iPhone-Pro-Max-Roxo-profundo/dp/B00H7EAGRY/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-16&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 15 Pro Max (256 GB) — Titânio branco;R$ 13.253,58;https://www.amazon.com.br/Apple-iPhone-Pro-Max-256/dp/B0CHXRCNH2/ref=sr_1_18?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-18&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 16 (512 GB) – Preto;R$ 10.099,00;https://www.amazon.com.br/Apple-iPhone-16-512-GB/dp/B0DJFS7GXV/ref=sr_1_20?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-20&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 15 Pro (128 GB) — Titânio preto;R$ 9.299,00;https://www.amazon.com.br/Apple-iPhone-15-Pro-128/dp/B0CHXRHSLC/ref=sr_1_19?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-19&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 13 Pro (128 GB) - Verde-alpino;R$ 9.176,00;https://www.amazon.com.br/Apple-iPhone-Pro-128-Verde-alpino/dp/B09V4T5YLG/ref=sr_1_24?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-24&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 16 (512 GB) – Branco;R$ 8.879,04;https://www.amazon.com.br/Apple-iPhone-16-512-GB/dp/B0DJFRYV1B/ref=sr_1_23?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-23&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
Apple iPhone 16 Pro Max (256 GB) – Titânio preto;R$ 8.819,09;https://www.amazon.com.br/Apple-iPhone-Pro-Max-256/dp/B0DGMJT4S8/ref=sr_1_11?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-11&ufe=app_do%3Aamzn1.fos.95de73c3-5dda-43a7-bd1f-63af03b14751
"Celular Samsung Galaxy S25 Ultra 5G, 512GB, 12GB RAM, Câmera Quádrupla de 200+50+10+50, Tela Grande de 6.9"", Titânio Cinza";R$ 8.311,48;https://www.amazon.com.br/Celular-Samsung-Galaxy-Qu%C3%A1drupla-Tit%C3%A2nio/dp/B0DSXZZH49/ref=sr_1_289?dib=eyJ2IjoiMSJ9.i4UEnBXmJEHD4PlQJYdz8d5ojvRa7SB6WSzQWfHJqaxXZQozK47lB3QvRyE_18fDmaf0BYcqh7X1PkxZZdz2ngzkyku7VoPi24YIy1z4U4PXylMFyh3ctGSx0aENnsxh2BE5tKixYfPJSUrg5l4zKYmObfN60TkLQ3jLnSEE2bpDqzoRtC6rmup4EGu0--1d47cfXGReHeYWphzqQVNskGlvYYVBsLMnHOrljCKJESPLKS_9WMQMIgldboMOWV0w3cbj4juagBmRVGdJxdgTJEBTMLFkGcNYu2Yi9vkCbBk.PZtqSYpnKh3ytW22IYvL_Bn-jyjcRGYOhnUV1qdoius&dib_tag=se&keywords=iphone&qid=1744670485&sr=8-289&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"Celular Samsung Galaxy S25 Ultra 5G, 512GB, 12GB RAM, Câmera Quádrupla de 200+50+10+50, Tela Grande de 6.9"", Titânio Cinza";R$ 8.311,48;https://www.amazon.com.br/Celular-Samsung-Galaxy-Qu%C3%A1drupla-Tit%C3%A2nio/dp/B0DSXZZH49/ref=sr_1_305?dib=eyJ2IjoiMSJ9.5_R8TZIUJFposmxrlyf4yNcmn9nGSf9Mn5J_bd__HJeG8HEwFOBoNzOZtCuAfbuh69EH44zTFpd5YdhMynMAHNs4LqFq2lAWKMVwZMiSZLndp1QqKPY_xjPCnwdkXU27CVTvt-THn-b2Icg377qtKTida3zH6jgySftxmJbMdYm8zNh_8ur1Qr1s1st6Ldkg8DMVyOkrPIG4pURUCKYm3qRh4a2sr0uBSTgrRy752U6DT5vBzAvmGNoMAFV3kXGWaBH3fOvx31fRaG40FMOXug.rhrzYKA4IHDdLBXoW0cV32rU5ct3MMf-YEF9uxNyKys&dib_tag=se&keywords=iphone&qid=1744670493&sr=8-305&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Apple iPhone 14 Pro (512 GB) – Roxo-profundo;R$ 7.749,00;https://www.amazon.com.br/Apple-iPhone-Pro-512-Roxo-profundo/dp/B0BDTSMG3Z/ref=sr_1_17?dib=eyJ2IjoiMSJ9.Fj0WvW_3VwdkYgsC0RcTVJurPmX2aj1olnvq66mv0RUwjRWHd3WtXTUsUVzFqCHLUzrUcXePWkngt3v0h-bAwLsnmxcXfqcnKh4QBBz8XzquiBZkMtgRMvCSStX2DII4ZwaVEDzllkit-BM5_SFhQb9wHjYhN7etv9HaKwaRXZ8YQdQQhqVXgA_v39Q3KWZS8PK3MS7aJbnSzMonGBH0S90RhcK3evC4VF1OFDv9def1jGT0LPHK-tujeF5vFwgVwSmMgMQDdh4Imd8n61Cn6nqnAFGciqkiJtt0YtEK_3s.pHZgSGiTTdUVX6HOlsRxMLM5I4a_qlVKiDt-l4PRP70&dib_tag=se&keywords=iphone&qid=1744670454&sr=8-17&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
